USER, FRIENDCOUNT
Joey,482
Aurelio,357
Evan,2143
Donny,1250
Foster,907
Dwayne,256
Grady,1757
Quinton,635
Darin,266
Mickey,323
Hank,55
Kim,253
Peter,457
Jeremy,139
Jess,266
Jimmie,949
Vern,537
Pasquale,431
Romeo,579
Chris,595
Dale,654
Beau,748
Cliff,127
Timothy,984
Raphael,155
Brian,195
Mauro,283
Luke,3955
Myron,356
Omar,1931
Reynaldo,361
Major,383
Clinton,571
Nolan,993
Raymond,467
Lucien,561
Carey,643
Winfred,348
Dan,339
Abel,397
Elliott,434
Brent,510
Chuck,167
Dirk,821
Todd,325
Emerson,758
Dewey,122
Scott,205
Enrique,322
Al,135
Beatrice,851
Brandy,1446
Kathy,48
Jane,776
Marcy,450
Shelly,1559
Lucy,287
Cathy,708
Joanna,108
Doris,536
Lindsay,495
Staci,85
Shelia,238
Rosanne,693
Rebecca,827
Luis,474
Flora,360
Rosalie,633
Karla,577
Phoebe,225
Meagan,261
Virginia,320
Amanda,707
Melody,146
Katy,191
Deanne,311
Michael,591
Pearl,76
Christi,486
Victoria,1
Ola,51
Alexandra,395
Marina,290
Lorraine,389
Sybil,267
Taylor,1145
Anne,68
Anita,20
Maria,705
Joel,94
Brenda,451
Jerry,627
Kaycee,1427
Bethany,40
June,393
Brandy,210
Mirian,341
Sue,916
